topics,,neg review average weights,positive review averate weights,The level of positiveness,confidence
0,Hustle & Bustle,0.007003676,0.005798865,0.827974462,1.71
1,Cool & Amazing Things,0.005518206,0.005079317,0.920465181,1.38
2,Enjoyment & Vibrant,0.007308349,0.005872383,0.803517082,2.1
3,Street Hucksters,0.006066524,0.005754159,0.948510082,1.63
4,Shoe and Drinking Water ,0.028097522,0.02446666,0.870776439,5.5
5,Air conditioning & Escalator,0.006366332,0.005208922,0.81819832,1.54
6,Architectural Visuals  & Fakeness,0.008571482,0.006673479,0.778567674,1.93
7,Mood Change,0.006652731,0.005111328,0.768305257,1.45
8,Annoying People & Distractions,0.005852083,0.004696633,0.802557484,1.4
9,Deceptive & Complex Scenes,0.004761882,0.004392112,0.922347889,1.28
10,Dirty & Undesired ,0.00862659,0.005956476,0.690478676,2.8
11,Family Experience,0.011877261,0.008092845,0.681372962,3.39
12,People Watching,0.274985098,0.150073475,0.545751299,12.74
13,Street Hustle & Distraction  ,0.008023823,0.00584789,0.728815936,2.68
14,Porn Handing,0.012682066,0.006694896,0.527902609,4.11
15,Shopping Environment,0.0050859,0.004469879,0.878876822,1.37
16,Shows and Exhibitions,0.007424532,0.006457068,0.869693502,2.31
17,Shopping Choices,0.008571176,0.008637986,1.007794746,2.04
18,Safety Concern,0.009249497,0.006981234,0.754769064,2.99
19,Nearby Site-Seeing Activities,0.008612299,0.007365726,0.855256568,2.38
20,Adult Activities,0.00642431,0.004691299,0.730241607,1.68
21,Transportation Aids,0.00524546,0.00420318,0.801298623,1.3
22,Pan Handler,0.006090275,0.005063263,0.831368514,1.47
23,Walkability Issues,0.018374431,0.011086249,0.60335193,5.26
24,Bucket List,0.005412186,0.006514627,1.203696141,1.73
25,Night Scene,0.190287448,0.352562896,1.852791134,11.22
26,Landmarks,0.008818488,0.009653344,1.09467114,2.45
27,Street Handing & Harassment,0.039145423,0.020335596,0.519488474,7.91
28,Sensory Overload,0.006133686,0.005279186,0.860687325,1.57
29,Walking and Exploring between Hotels,0.267448905,0.293192932,1.096257739,8.68
