,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,hustle,single,dull,special,wow,conditioned,lovely,valet,wedding,buzz,august,daughter,people,pack,flashing,fit,saturday,happens,nightlife,canyon,ups,worse,pan,access,standing,see,venice,card,entertainer,hotel
1,bustle,stunning,moment,wonder,corner,wild,ship,replica,boy,spa,star,drove,get,surprise,stripper,disappoint,friday,bustling,act,dam,fat,hanging,temperature,naked,relax,night,highlight,handing,coffee,walk
2,america,covered,lived,experiencing,driving,whenever,watcher,managed,lane,surreal,presence,glamour,time,doubt,blowing,gorgeous,cruise,scale,excited,central,clickers,odd,handler,sometimes,magic,place,musician,guy,neat,see
3,porn,headed,hope,dream,stopping,nyc,bumper,conservatory,difference,shirt,talk,excess,day,vast,hopping,inexpensive,crosswalk,wheel,compared,hoover,decided,scooter,discover,ignore,lined,fun,tower,constantly,worthwhile,casino
4,compare,anytime,indoor,behold,exercise,exhausting,performance,visual,bunch,kinda,spectacle,son,see,control,bum,usa,everytime,bill,shoulder,married,viva,interior,die,glad,involved,much,decor,bother,specially,night
5,leg,hat,mad,busker,exploring,fan,fake,cut,simple,bothered,rail,glitz,place,advise,annoying,general,egypt,finding,east,order,grown,faster,forth,navigate,venue,people,eiffel,flyer,fight,walking
6,convenient,conference,cream,pavement,changing,incredibly,season,nicer,penny,perspective,pawn,freak,money,regret,sale,eve,ugly,believed,safer,nearby,booze,outfit,horrible,allow,outstanding,great,amusement,vendor,imagined,day
7,anyway,animal,ice,handle,cooler,worked,parent,memorable,temp,depends,begin,birthday,bus,tend,case,follow,color,known,west,cover,telling,array,marvel,idea,traveled,light,forum,pushing,overload,bellagio
8,leaving,returned,connected,brash,afternoon,impression,beggers,mood,drop,marathon,mono,nighttime,like,timer,smoker,period,overcrowded,soak,regardless,dry,peace,arrive,limited,ground,culture,walking,art,dont,sensory,time
9,rid,coolest,body,cruising,hit,fly,definately,thru,tire,insane,warned,aggressive,hotel,checked,crowed,hike,booth,taste,ridiculous,cirque,item,scam,nite,extra,touring,walk,glitzy,girl,finish,show
10,moved,shady,stepping,parked,checking,elaborate,popping,black,carnival,typically,enormous,priced,year,write,chaos,artificial,path,viewing,winter,helicopter,similar,present,sunset,level,billboard,hotel,canal,alone,coast,take
11,individual,meant,designer,talking,overpass,lining,bargain,bachelor,alike,carrying,sunscreen,handed,casino,talent,factor,ouch,italy,floor,diversity,soleil,cheapest,wide,beside,million,bucket,time,belagio,major,battle,street
12,donation,connect,trump,wanna,holiday,extravaganza,smut,reminds,harley,roll,recommendation,riding,show,rode,crap,mid,sens,quiet,beach,hurry,tuesday,mobility,jaw,congested,throw,love,liberty,men,nightclub,great
13,gaudy,terrific,ensure,mister,baby,wheelchair,excuse,patient,littered,honeymoon,personally,dine,much,outrageous,touristy,surprisingly,land,ceasars,journey,siren,ordinary,kiosk,addition,guess,decent,always,statue,sort,wall,get
14,mass,original,ceasar,unbearable,sightseeing,personality,today,treat,talented,deceptive,cheesy,fairly,take,january,classic,nicely,yeah,explain,entertain,blow,gambled,obvious,decorated,trouble,conditioning,day,fire,passing,lounge,people
15,provide,phone,varied,zoo,strolling,suck,luck,ceiling,employee,glam,joint,hated,fun,returning,humanity,cent,heaven,ferris,build,harrahs,standard,created,challenging,easier,list,amazing,unlike,call,noon,fountain
16,natural,theatre,happen,war,panhandler,pickpocket,there,dislike,panhandling,appears,trash,unsafe,walk,lure,upscale,isnt,alcoholic,running,trek,extravagance,skip,pure,maze,designed,michael,casino,self,escort,shock,place
17,walgreen,snapper,smelly,entertainer,cold,romantic,arrived,los,leisure,bumping,police,midnight,would,law,attention,meandering,feast,dangerous,scary,mega,hoping,shoved,dropping,watched,atleast,different,landmark,noisy,shove,new
18,delight,goer,sample,wasted,hear,pull,ect,ballys,chapel,plentiful,preferred,nugget,walking,amazingly,sunday,mob,flashy,garden,delicious,thoroughly,sculpture,patio,motorcycle,glitter,jackson,experience,mini,pushy,hopefully,free
19,gonna,gym,flutter,hire,offered,wet,largest,jaywalk,shot,scenic,hype,visually,good,sunny,meaning,halloween,dazzling,living,southern,drinker,poverty,disappoints,unforgettable,younger,suitable,shoe,cleaner,smoke,wine,like
