topic0,topic1,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic2,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic3,topic4,topic5,topic6,topic7,topic8,topic9
"0.021*""hustle""","0.018*""single""","0.017*""august""","0.014*""daughter""","0.007*""people""","0.014*""pack""","0.011*""flashing""","0.017*""fit""","0.014*""saturday""","0.014*""happens""","0.020*""nightlife""","0.011*""canyon""","0.035*""dull""","0.011*""ups""","0.013*""worse""","0.012*""pan""","0.013*""access""","0.011*""standing""","0.012*""see""","0.014*""venice""","0.019*""card""","0.023*""entertainer""","0.009*""hotel""","0.016*""special""","0.009*""wow""","0.012*""conditioned""","0.016*""lovely""","0.011*""valet""","0.019*""wedding""","0.022*""buzz"""
"0.020*""bustle""","0.017*""stunning""","0.015*""star""","0.012*""drove""","0.006*""get""","0.011*""surprise""","0.009*""stripper""","0.016*""disappoint""","0.013*""friday""","0.012*""bustling""","0.013*""act""","0.010*""dam""","0.031*""moment""","0.010*""fat""","0.013*""hanging""","0.012*""temperature""","0.012*""naked""","0.011*""relax""","0.012*""night""","0.011*""highlight""","0.011*""handing""","0.012*""coffee""","0.008*""walk""","0.013*""wonder""","0.009*""corner""","0.012*""wild""","0.012*""ship""","0.010*""replica""","0.013*""boy""","0.013*""spa"""
"0.017*""america""","0.011*""covered""","0.012*""presence""","0.011*""glamour""","0.006*""time""","0.010*""doubt""","0.009*""blowing""","0.014*""gorgeous""","0.011*""cruise""","0.012*""scale""","0.009*""excited""","0.010*""central""","0.018*""lived""","0.010*""clickers""","0.011*""odd""","0.011*""handler""","0.011*""sometimes""","0.011*""magic""","0.012*""place""","0.010*""musician""","0.008*""guy""","0.011*""neat""","0.008*""see""","0.013*""experiencing""","0.009*""driving""","0.012*""whenever""","0.011*""watcher""","0.010*""managed""","0.013*""lane""","0.012*""surreal"""
"0.016*""porn""","0.011*""headed""","0.011*""talk""","0.011*""excess""","0.006*""day""","0.010*""vast""","0.009*""hopping""","0.013*""inexpensive""","0.011*""crosswalk""","0.010*""wheel""","0.009*""compared""","0.010*""hoover""","0.014*""hope""","0.009*""decided""","0.011*""scooter""","0.011*""discover""","0.010*""ignore""","0.010*""lined""","0.011*""fun""","0.009*""tower""","0.008*""constantly""","0.010*""worthwhile""","0.007*""casino""","0.013*""dream""","0.009*""stopping""","0.012*""nyc""","0.011*""bumper""","0.010*""conservatory""","0.012*""difference""","0.011*""shirt"""
"0.013*""compare""","0.010*""anytime""","0.010*""spectacle""","0.010*""son""","0.005*""see""","0.009*""control""","0.008*""bum""","0.012*""usa""","0.011*""everytime""","0.010*""bill""","0.008*""shoulder""","0.009*""married""","0.011*""indoor""","0.009*""viva""","0.011*""interior""","0.010*""die""","0.010*""glad""","0.010*""involved""","0.011*""much""","0.009*""decor""","0.008*""bother""","0.010*""specially""","0.007*""night""","0.012*""behold""","0.008*""exercise""","0.010*""exhausting""","0.010*""performance""","0.009*""visual""","0.012*""bunch""","0.010*""kinda"""
"0.012*""leg""","0.009*""hat""","0.009*""rail""","0.010*""glitz""","0.005*""place""","0.009*""advise""","0.008*""annoying""","0.012*""general""","0.010*""egypt""","0.010*""finding""","0.008*""east""","0.008*""order""","0.010*""mad""","0.009*""grown""","0.011*""faster""","0.010*""forth""","0.009*""navigate""","0.009*""venue""","0.011*""people""","0.009*""eiffel""","0.007*""flyer""","0.010*""fight""","0.007*""walking""","0.010*""busker""","0.008*""exploring""","0.010*""fan""","0.009*""fake""","0.009*""cut""","0.011*""simple""","0.010*""bothered"""
"0.011*""convenient""","0.009*""conference""","0.009*""pawn""","0.010*""freak""","0.005*""money""","0.008*""regret""","0.008*""sale""","0.011*""eve""","0.010*""ugly""","0.010*""believed""","0.008*""safer""","0.008*""nearby""","0.010*""cream""","0.009*""booze""","0.010*""outfit""","0.010*""horrible""","0.009*""allow""","0.009*""outstanding""","0.010*""great""","0.009*""amusement""","0.007*""vendor""","0.009*""imagined""","0.007*""day""","0.010*""pavement""","0.007*""changing""","0.010*""incredibly""","0.009*""season""","0.009*""nicer""","0.011*""penny""","0.009*""perspective"""
"0.011*""anyway""","0.008*""animal""","0.009*""begin""","0.009*""birthday""","0.005*""bus""","0.008*""tend""","0.008*""case""","0.011*""follow""","0.009*""color""","0.010*""known""","0.008*""west""","0.008*""cover""","0.010*""ice""","0.009*""telling""","0.009*""array""","0.009*""marvel""","0.009*""idea""","0.009*""traveled""","0.010*""light""","0.009*""forum""","0.007*""pushing""","0.009*""overload""","0.007*""bellagio""","0.009*""handle""","0.007*""cooler""","0.008*""worked""","0.009*""parent""","0.009*""memorable""","0.010*""temp""","0.009*""depends"""
"0.011*""leaving""","0.008*""returned""","0.008*""mono""","0.009*""nighttime""","0.005*""like""","0.007*""timer""","0.008*""smoker""","0.010*""period""","0.009*""overcrowded""","0.009*""soak""","0.008*""regardless""","0.008*""dry""","0.009*""connected""","0.008*""peace""","0.009*""arrive""","0.009*""limited""","0.008*""ground""","0.008*""culture""","0.010*""walking""","0.009*""art""","0.007*""dont""","0.008*""sensory""","0.006*""time""","0.009*""brash""","0.006*""afternoon""","0.008*""impression""","0.008*""beggers""","0.008*""mood""","0.010*""drop""","0.009*""marathon"""
"0.010*""rid""","0.008*""coolest""","0.008*""warned""","0.008*""aggressive""","0.005*""hotel""","0.007*""checked""","0.008*""crowed""","0.009*""hike""","0.009*""booth""","0.009*""taste""","0.008*""ridiculous""","0.007*""cirque""","0.009*""body""","0.007*""item""","0.009*""scam""","0.009*""nite""","0.008*""extra""","0.008*""touring""","0.009*""walk""","0.008*""glitzy""","0.007*""girl""","0.008*""finish""","0.006*""show""","0.008*""cruising""","0.006*""hit""","0.008*""fly""","0.008*""definately""","0.008*""thru""","0.010*""tire""","0.008*""insane"""
"0.010*""moved""","0.007*""shady""","0.008*""enormous""","0.008*""priced""","0.005*""year""","0.007*""write""","0.007*""chaos""","0.009*""artificial""","0.008*""path""","0.009*""viewing""","0.008*""winter""","0.007*""helicopter""","0.008*""stepping""","0.007*""similar""","0.008*""present""","0.008*""sunset""","0.008*""level""","0.008*""billboard""","0.009*""hotel""","0.008*""canal""","0.007*""alone""","0.008*""coast""","0.006*""take""","0.008*""parked""","0.006*""checking""","0.008*""elaborate""","0.008*""popping""","0.007*""black""","0.008*""carnival""","0.008*""typically"""
"0.009*""individual""","0.007*""meant""","0.007*""sunscreen""","0.007*""handed""","0.005*""casino""","0.006*""talent""","0.007*""factor""","0.007*""ouch""","0.008*""italy""","0.009*""floor""","0.007*""diversity""","0.007*""soleil""","0.008*""designer""","0.007*""cheapest""","0.008*""wide""","0.008*""beside""","0.008*""million""","0.007*""bucket""","0.009*""time""","0.008*""belagio""","0.007*""major""","0.008*""battle""","0.006*""street""","0.008*""talking""","0.006*""overpass""","0.007*""lining""","0.008*""bargain""","0.007*""bachelor""","0.008*""alike""","0.008*""carrying"""
